fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
1,HEX0000001,Oceano,Marina,Baja California,4,0.347157888114452,0.0867894720286131,0.0856312736868858,0.0877116993069649
2,HEX0000002,Oceano,Marina,Baja California,4,0.350346095860004,0.0875865239650011,0.0868198946118355,0.0881979689002037
3,HEX0000003,Oceano,Marina,Baja California,6,0.513703174889088,0.0856171958148479,0.0832430869340897,0.086930051445961
4,HEX0000004,Oceano,Marina,Baja California,4,0.351390138268471,0.0878475345671177,0.0867341756820679,0.0887213051319122
5,HEX0000005,Oceano,Marina,Baja California,3,0.265544526278973,0.0885148420929909,0.0881596505641937,0.089133620262146
6,HEX0000006,Oceano,Marina,Baja California,6,0.53186696767807,0.0886444946130117,0.0870913490653038,0.0902569890022278
7,HEX0000007,Oceano,Marina,Baja California,4,0.3467812910676,0.0866953227669001,0.0855364575982094,0.0879776179790497
8,HEX0000008,Oceano,Marina,Baja California,4,0.32778263092041,0.0819456577301025,0.081365704536438,0.0824707224965096
9,HEX0000009,Oceano,Marina,Baja California,4,0.346011281013489,0.0865028202533722,0.0845828279852867,0.0883244574069977
10,HEX0000010,Oceano,Marina,Baja California,6,0.526149168610573,0.0876915281017621,0.08717180788517,0.0884975716471672
11,HEX0000011,Oceano,Marina,Baja California,4,0.347770929336548,0.086942732334137,0.0860997587442398,0.0876347199082375
12,HEX0000012,Oceano,Marina,Baja California,4,0.352900914847851,0.0882252287119627,0.0865606740117073,0.0895526930689812
13,HEX0000013,Oceano,Marina,Baja California,6,0.533830069005489,0.0889716781675816,0.0878228694200516,0.090931624174118
14,HEX0000014,Oceano,Marina,Baja California,4,0.354670815169811,0.0886677037924528,0.0867720395326614,0.0905112028121948
15,HEX0000015,Oceano,Marina,Baja California,4,0.358794242143631,0.0896985605359077,0.0882145911455154,0.0908357873558998
16,HEX0000016,Oceano,Marina,Baja California,6,0.53183776140213,0.088639626900355,0.0864414647221565,0.0912021920084953
17,HEX0000017,Oceano,Marina,Baja California,4,0.351665921509266,0.0879164803773165,0.0865020453929901,0.0903459191322327
18,HEX0000018,Oceano,Marina,Baja California,4,0.322303675115108,0.0805759187787771,0.0794591903686523,0.0818302184343338
19,HEX0000019,Oceano,Marina,Baja California,4,0.366127662360668,0.091531915590167,0.0907474532723427,0.0929649546742439
20,HEX0000020,Oceano,Marina,Baja California,6,0.507832862436771,0.0846388104061286,0.0830251350998878,0.085788331925869
21,HEX0000021,Oceano,Marina,Baja California,4,0.344538182020187,0.0861345455050468,0.0839531123638153,0.088105820119381
22,HEX0000022,Oceano,Marina,Baja California,4,0.350888706743717,0.0877221766859293,0.0868904516100883,0.0890013873577118
